model	lang	chrf	bleu
nllb-200-distilled-600M	ru	60.47	40.84
nllb-200-distilled-600M	zh	52.03	29.96
nllb-200-distilled-600M	es	66.19	47.72
nllb-200-distilled-600M	ar	66.37	49.2
nllb-200-distilled-600M	hi	64.48	44.94
nllb-200-distilled-600M	id	58.94	37.98
nllb-200-distilled-600M	te	50.87	29.35
nllb-200-distilled-600M	sw	60.53	41.48
nllb-200-distilled-600M	eu	55.7	35.01
nllb-200-distilled-600M	my	45.53	22.58
nllb-200-distilled-600M	avg	58.11	37.91
nllb-200-distilled-1.3B	ru	63.02	44.05
nllb-200-distilled-1.3B	zh	53.96	30.99
nllb-200-distilled-1.3B	es	68.18	50.29
nllb-200-distilled-1.3B	ar	69.03	52.65
nllb-200-distilled-1.3B	hi	67.02	48.34
nllb-200-distilled-1.3B	id	61.12	40.74
nllb-200-distilled-1.3B	te	53.05	31.98
nllb-200-distilled-1.3B	sw	62.41	43.76
nllb-200-distilled-1.3B	eu	55.01	33.63
nllb-200-distilled-1.3B	my	50.67	28.83
nllb-200-distilled-1.3B	avg	60.35	40.53
nllb-200-1.3B	ru	62.41	43.2
nllb-200-1.3B	zh	54.31	32.51
nllb-200-1.3B	es	67.97	50.14
nllb-200-1.3B	ar	69.01	52.48
nllb-200-1.3B	hi	66.75	47.92
nllb-200-1.3B	id	60.97	40.66
nllb-200-1.3B	te	52.51	31.31
nllb-200-1.3B	sw	62.58	44.03
nllb-200-1.3B	eu	56.02	35.37
nllb-200-1.3B	my	51.5	29.82
nllb-200-1.3B	avg	60.4	40.75
nllb-200-3.3B	ru	63.6	44.48
nllb-200-3.3B	zh	56.61	34.59
nllb-200-3.3B	es	68.92	51.19
nllb-200-3.3B	ar	70.35	54.34
nllb-200-3.3B	hi	67.47	48.86
nllb-200-3.3B	id	62.03	42.02
nllb-200-3.3B	te	53.72	32.68
nllb-200-3.3B	sw	63.28	44.84
nllb-200-3.3B	eu	55.52	33.21
nllb-200-3.3B	my	51.9	29.62
nllb-200-3.3B	avg	61.34	41.58
bloomz-560m	ru	14.75	1.05
bloomz-560m	zh	26.38	7.27
bloomz-560m	es	31.25	11.66
bloomz-560m	ar	23.02	6.89
bloomz-560m	hi	24.29	6.25
bloomz-560m	id	25.91	7.68
bloomz-560m	te	19.7	3.11
bloomz-560m	sw	18.63	2.85
bloomz-560m	eu	18.65	2.43
bloomz-560m	my	1.12	0.0
bloomz-560m	avg	20.37	4.92
bloomz-1b1	ru	15.18	1.66
bloomz-1b1	zh	25.46	6.93
bloomz-1b1	es	31.46	12.07
bloomz-1b1	ar	25.12	7.96
bloomz-1b1	hi	25.82	6.79
bloomz-1b1	id	27.74	9.01
bloomz-1b1	te	19.81	3.38
bloomz-1b1	sw	17.3	2.28
bloomz-1b1	eu	19.63	2.92
bloomz-1b1	my	1.22	0.0
bloomz-1b1	avg	20.87	5.3
bloomz-1b7	ru	17.81	2.75
bloomz-1b7	zh	31.12	11.41
bloomz-1b7	es	37.21	17.27
bloomz-1b7	ar	28.51	10.39
bloomz-1b7	hi	29.52	9.85
bloomz-1b7	id	31.9	12.32
bloomz-1b7	te	21.89	4.63
bloomz-1b7	sw	22.48	5.45
bloomz-1b7	eu	21.79	4.58
bloomz-1b7	my	1.34	0.0
bloomz-1b7	avg	24.36	7.86
bloomz-3b	ru	20.18	4.63
bloomz-3b	zh	32.48	13.01
bloomz-3b	es	40.1	19.85
bloomz-3b	ar	33.14	14.35
bloomz-3b	hi	30.46	11.56
bloomz-3b	id	32.86	13.41
bloomz-3b	te	21.72	5.25
bloomz-3b	sw	23.34	6.62
bloomz-3b	eu	22.36	5.24
bloomz-3b	my	1.35	0.0
bloomz-3b	avg	25.8	9.39
bloomz-7b1	ru	24.77	7.68
bloomz-7b1	zh	37.3	16.46
bloomz-7b1	es	45.39	24.51
bloomz-7b1	ar	37.7	17.97
bloomz-7b1	hi	38.48	17.61
bloomz-7b1	id	39.06	18.24
bloomz-7b1	te	29.11	10.03
bloomz-7b1	sw	29.88	11.1
bloomz-7b1	eu	29.77	10.07
bloomz-7b1	my	1.31	0.0
bloomz-7b1	avg	31.27	13.37
bloomz-7b1-mt	ru	24.01	7.13
bloomz-7b1-mt	zh	36.27	15.63
bloomz-7b1-mt	es	43.96	23.19
bloomz-7b1-mt	ar	36.63	17.06
bloomz-7b1-mt	hi	37.86	17.05
bloomz-7b1-mt	id	38.18	17.29
bloomz-7b1-mt	te	28.71	9.51
bloomz-7b1-mt	sw	29.22	10.35
bloomz-7b1-mt	eu	28.96	9.39
bloomz-7b1-mt	my	1.35	0.0
bloomz-7b1-mt	avg	30.51	12.66
