model	lang	chrf	bleu
nllb-200-distilled-600M	ru	60.47	40.84
nllb-200-distilled-600M	zh	52.03	29.96
nllb-200-distilled-600M	es	66.19	47.72
nllb-200-distilled-600M	ar	66.37	49.2
nllb-200-distilled-600M	hi	64.48	44.94
nllb-200-distilled-600M	id	58.94	37.98
nllb-200-distilled-600M	te	50.87	29.35
nllb-200-distilled-600M	sw	60.53	41.48
nllb-200-distilled-600M	eu	55.7	35.01
nllb-200-distilled-600M	my	45.53	22.58
nllb-200-distilled-600M	avg	58.11	37.91
nllb-200-distilled-1.3B	ru	63.02	44.05
nllb-200-distilled-1.3B	zh	53.96	30.99
nllb-200-distilled-1.3B	es	68.18	50.29
nllb-200-distilled-1.3B	ar	69.03	52.65
nllb-200-distilled-1.3B	hi	67.02	48.34
nllb-200-distilled-1.3B	id	61.12	40.74
nllb-200-distilled-1.3B	te	53.05	31.98
nllb-200-distilled-1.3B	sw	62.41	43.76
nllb-200-distilled-1.3B	eu	55.01	33.63
nllb-200-distilled-1.3B	my	50.67	28.83
nllb-200-distilled-1.3B	avg	60.35	40.53
nllb-200-1.3B	ru	62.41	43.2
nllb-200-1.3B	zh	54.31	32.51
nllb-200-1.3B	es	67.97	50.14
nllb-200-1.3B	ar	69.01	52.48
nllb-200-1.3B	hi	66.75	47.92
nllb-200-1.3B	id	60.97	40.66
nllb-200-1.3B	te	52.51	31.31
nllb-200-1.3B	sw	62.58	44.03
nllb-200-1.3B	eu	56.02	35.37
nllb-200-1.3B	my	51.5	29.82
nllb-200-1.3B	avg	60.4	40.75
nllb-200-3.3B	ru	63.6	44.48
nllb-200-3.3B	zh	56.61	34.59
nllb-200-3.3B	es	68.92	51.19
nllb-200-3.3B	ar	70.35	54.34
nllb-200-3.3B	hi	67.47	48.86
nllb-200-3.3B	id	62.03	42.02
nllb-200-3.3B	te	53.72	32.68
nllb-200-3.3B	sw	63.28	44.84
nllb-200-3.3B	eu	55.52	33.21
nllb-200-3.3B	my	51.9	29.62
nllb-200-3.3B	avg	61.34	41.58
xglm-564M	ru	4.83	0.25
xglm-564M	zh	3.8	0.13
xglm-564M	es	10.13	0.18
xglm-564M	ar	3.66	0.08
xglm-564M	hi	4.74	0.18
xglm-564M	id	10.12	0.18
xglm-564M	te	5.47	0.09
xglm-564M	sw	8.96	0.11
xglm-564M	eu	8.84	0.04
xglm-564M	my	5.23	0.09
xglm-564M	avg	6.58	0.13
xglm-1.7B	ru	9.89	1.14
xglm-1.7B	zh	16.74	3.47
xglm-1.7B	es	14.4	1.49
xglm-1.7B	ar	11.06	1.54
xglm-1.7B	hi	11.43	1.93
xglm-1.7B	id	12.83	0.93
xglm-1.7B	te	9.5	0.9
xglm-1.7B	sw	12.21	1.03
xglm-1.7B	eu	13.59	1.13
xglm-1.7B	my	8.96	0.81
xglm-1.7B	avg	12.06	1.44
xglm-2.9B	ru	8.46	0.83
xglm-2.9B	zh	9.4	1.68
xglm-2.9B	es	12.3	0.81
xglm-2.9B	ar	7.2	0.84
xglm-2.9B	hi	9.79	1.42
xglm-2.9B	id	12.67	0.93
xglm-2.9B	te	7.68	0.6
xglm-2.9B	sw	11.56	1.04
xglm-2.9B	eu	12.38	1.07
xglm-2.9B	my	10.01	1.27
xglm-2.9B	avg	10.15	1.05
xglm-4.5B	ru	9.3	1.26
xglm-4.5B	zh	11.68	1.86
xglm-4.5B	es	19.51	3.55
xglm-4.5B	ar	13.03	2.52
xglm-4.5B	hi	12.31	2.04
xglm-4.5B	id	15.49	2.06
xglm-4.5B	te	9.68	0.89
xglm-4.5B	sw	13.52	1.35
