model	lang	chrf	bleu
xglm-564M	ru	38.75	16.77
xglm-564M	zh	17.07	4.87
xglm-564M	es	38.99	17.38
xglm-564M	ar	25.47	9.4
xglm-564M	hi	28.17	9.35
xglm-564M	id	35.33	13.37
xglm-564M	te	5.03	0.94
xglm-564M	sw	28.67	10.24
xglm-564M	eu	22.34	4.61
xglm-564M	my	2.31	0.02
xglm-564M	avg	24.21	8.69
xglm-1.7B	ru	48.62	24.97
xglm-1.7B	zh	39.06	14.97
xglm-1.7B	es	53.14	29.9
xglm-1.7B	ar	43.69	22.36
xglm-1.7B	hi	44.74	21.69
xglm-1.7B	id	48.33	23.93
xglm-1.7B	te	31.27	10.41
xglm-1.7B	sw	44.33	22.76
xglm-1.7B	eu	36.87	14.44
xglm-1.7B	my	31.82	11.18
xglm-1.7B	avg	42.19	19.66
xglm-2.9B	ru	52.47	29.31
xglm-2.9B	zh	43.33	18.86
xglm-2.9B	es	57.28	34.42
xglm-2.9B	ar	50.39	29.12
xglm-2.9B	hi	50.02	26.77
xglm-2.9B	id	53.07	29.39
xglm-2.9B	te	35.91	13.95
xglm-2.9B	sw	49.72	27.92
xglm-2.9B	eu	43.03	19.39
xglm-2.9B	my	37.19	15.53
xglm-2.9B	avg	47.24	24.47
xglm-4.5B	ru	53.45	30.41
xglm-4.5B	zh	43.59	19.19
xglm-4.5B	es	58.72	35.84
xglm-4.5B	ar	49.36	28.1
xglm-4.5B	hi	45.27	23.12
xglm-4.5B	id	53.56	29.67
xglm-4.5B	te	30.02	10.4
xglm-4.5B	sw	45.08	23.92
xglm-4.5B	eu	20.85	3.27
xglm-4.5B	my	21.43	5.28
xglm-4.5B	avg	42.13	20.92
bloom-560m	ru	14.85	0.53
bloom-560m	zh	39.44	17.57
bloom-560m	es	48.78	27.43
bloom-560m	ar	40.39	20.38
bloom-560m	hi	32.26	11.43
bloom-560m	id	43.46	21.87
bloom-560m	te	20.22	3.95
bloom-560m	sw	18.33	3.93
bloom-560m	eu	21.0	4.63
bloom-560m	my	9.51	0.03
bloom-560m	avg	28.82	11.17
bloom-1b1	ru	21.86	4.76
bloom-1b1	zh	44.81	22.66
bloom-1b1	es	55.32	34.49
bloom-1b1	ar	48.28	28.91
bloom-1b1	hi	38.61	17.2
bloom-1b1	id	50.45	28.54
bloom-1b1	te	20.66	4.11
bloom-1b1	sw	22.55	5.97
bloom-1b1	eu	30.61	10.18
bloom-1b1	my	11.34	0.1
bloom-1b1	avg	34.45	15.69
bloom-1b7	ru	30.5	9.54
bloom-1b7	zh	47.85	25.61
bloom-1b7	es	57.99	37.6
bloom-1b7	ar	51.16	31.17
bloom-1b7	hi	44.94	22.71
bloom-1b7	id	52.91	31.12
bloom-1b7	te	31.33	11.5
bloom-1b7	sw	35.99	16.26
bloom-1b7	eu	35.21	14.06
bloom-1b7	my	12.35	0.06
bloom-1b7	avg	40.02	19.96
bloomz-560m	ru	15.08	0.78
bloomz-560m	zh	34.75	14.9
